time,N0,N1
0.3,0,0
0.33,0,0
0.36,0,0
0.39,0,0
0.42,0,0
0.45,0,0
0.48,0,0
0.51,0,0
0.54,1,0
0.57,0,0
0.6,0,0
0.21,0,0
0.24,1,0
0.27,1,0
0.3,0,0
0.33,0,0
0.36,0,0
0.39,0,0
0.42,0,0
0.45,1,0
0.48,0,0
0.51,1,0
0.54,0,0
0.57,1,0
0.6,0,0
0.21,0,0
0.24,0,0
0.27,1,0
0.3,0,0
0.33,0,0
0.36,1,0
0.39,0,0
0.42,0,0
0.45,1,0
0.48,0,0
0.51,0,0
0.54,0,0
0.57,0,0
0.6,0,0
0.21,0,0
0.24,0,0
0.27,0,0
0.3,0,0
0.33,0,0
0.36,0,0
0.39,0,0
0.42,0,0
0.45,0,0
0.48,0,0
0.51,0,0
0.54,0,0
0.57,0,0
0.6,0,0
0.21,0,0
0.24,0,0
0.27,1,0
0.3,0,0
0.33,0,0
0.36,1,0
0.39,31,0
0.42,164,5
0.45,161,7
0.48,171,2
0.51,161,5
0.54,176,1
0.57,169,2
0.6,173,2
0.21,162,10
0.24,163,1
0.27,174,2
0.3,167,4
0.33,163,6
0.36,163,8
0.39,160,7
0.42,163,4
0.45,165,6
0.48,169,5
0.51,168,8
0.54,171,2
0.57,170,3
0.6,162,1
