time,N0,N1
0,38,130
0.03,68,108
0.06,83,96
0.09,88,78
0.12,119,54
0.15,129,45
0.18,149,25
0.21,162,13
0.24,169,10
0.27,176,7
0.3,169,2
0.33,167,7
0.36,175,2
0.39,178,3
0.42,165,7
0.45,171,4
0.48,153,5
0.51,176,7
0.54,161,6
0.57,174,4
0.6,177,0
0,58,121
0.03,67,104
0.06,80,89
0.09,100,72
0.12,121,52
0.15,127,41
0.18,151,23
0.21,163,14
0.24,170,8
0.27,178,5
0.3,180,1
0.33,179,5
0.36,170,4
0.39,176,4
0.42,176,2
0.45,166,4
0.48,167,5
0.51,160,5
0.54,167,4
0.57,169,3
0.6,171,2
0,56,122
0.03,57,125
0.06,77,96
0.09,108,65
0.12,117,61
0.15,137,34
0.18,167,13
0.21,152,10
0.24,161,7
0.27,169,5
0.3,166,6
0.33,162,6
0.36,168,9
0.39,167,4
0.42,176,4
0.45,170,4
0.48,175,3
0.51,164,3
0.54,175,1
0.57,178,1
0.6,173,4
0,49,121
0.03,71,104
0.06,81,96
0.09,98,82
0.12,104,62
0.15,133,41
0.18,152,17
0.21,165,15
0.24,172,6
0.27,168,5
0.3,174,4
0.33,169,1
0.36,167,3
0.39,161,7
0.42,167,4
0.45,170,2
0.48,167,9
0.51,170,4
0.54,179,2
0.57,175,3
0.6,163,1
0,52,124
0.03,60,114
0.06,77,103
0.09,98,77
0.12,121,51
0.15,130,44
0.18,144,27
0.21,150,16
0.24,168,6
0.27,176,2
0.3,162,6
0.33,172,5
0.36,171,5
0.39,169,6
0.42,173,5
0.45,168,6
0.48,170,2
0.51,170,4
0.54,173,3
0.57,171,2
0.6,165,3
0,62,118
0.03,66,114
0.06,81,97
0.09,105,77
0.12,123,46
0.15,139,27
0.18,154,18
0.21,155,13
0.24,178,2
0.27,180,1
0.3,168,2
0.33,178,4
0.36,179,3
0.39,163,4
0.42,172,2
0.45,174,4
0.48,173,8
0.51,177,4
0.54,171,1
0.57,166,1
0.6,51,0
0,46,66
0.03,69,101
0.06,80,87
0.09,54,35
0.12,14,0
0.15,35,1
0.18,40,5
0.21,62,3
0.24,57,1
0.27,68,1
0.3,63,1
0.33,59,1
0.36,61,0
0.39,59,0
0.42,74,1
0.45,19,0
0.48,0,0
0.51,0,0
0.54,0,0
0.57,0,0
0.6,0,0
0,0,0
0.03,0,0
0.06,0,0
0.09,0,0
0.12,0,0
0.15,0,0
0.18,0,0
0.21,0,0
0.24,0,0
0.27,0,0
0.3,0,0
0.33,0,0
0.36,0,0
0.39,0,0
0.42,0,0
0.45,0,0
0.48,0,0
0.51,1,0
0.54,0,0
0.57,0,0
0.6,0,0
0,29,129
0.03,29,130
0.06,52,99
0.09,90,69
0.12,95,55
0.15,124,36
0.18,134,17
0.21,150,7
0.24,157,1
0.27,156,0
0.3,150,4
0.33,153,3
0.36,136,6
0.39,143,4
0.42,149,5
0.45,151,6
0.48,157,2
0.51,154,2
0.54,160,1
0.57,158,1
0.6,159,1
0,27,133
0.03,32,128
0.06,60,95
0.09,70,89
0.12,103,56
0.15,120,38
0.18,133,18
0.21,132,15
0.24,155,6
0.27,156,1
0.3,145,3
0.33,160,0
0.36,159,3
0.39,141,5
0.42,151,3
0.45,132,9
0.48,135,2
0.51,150,1
0.54,155,1
0.57,160,1
0.6,153,1
0,13,152
0,20,149
0,26,139
0,23,138
0,28,135
0,24,142
0,23,147
0,22,150
0,17,151
0,20,143
0.03,32,131
0.06,52,123
0.09,84,82
0.12,109,64
0.15,141,32
0.18,152,12
0.03,35,129
0.06,46,119
0.09,92,82
0.12,105,54
0.15,142,33
0.18,148,21
0.03,38,119
0.06,46,114
0.09,95,76
0.12,101,56
0.15,137,37
0.18,160,14
0.21,158,6
0.24,170,3
0.27,172,0
0.3,165,1
0.33,162,7
0.36,173,4
0.39,157,3
0.42,159,8
0.45,173,3
0.48,155,6
0.51,159,3
0.54,162,5
0.57,173,1
0.6,169,2
0.21,156,8
0.24,164,5
0.27,168,1
0.3,167,2
0.33,167,7
0.36,166,4
0.39,167,3
0.42,169,8
0.45,167,1
0.48,162,4
0.51,172,1
0.54,165,1
0.57,169,1
0.6,164,0
0.21,166,4
0.24,166,3
0.27,157,2
0.3,159,5
0.33,171,3
0.36,122,8
0.39,59,1
0.42,17,1
0.45,0,0
0.48,0,0
0.51,0,0
0.54,0,0
0.57,0,0
0.6,0,0
0.21,0,0
0.24,1,0
0.27,1,0
0.3,0,0
0.33,0,0
0.36,1,0
0.39,0,0
0.42,0,0
0.45,0,0
0.48,1,0
0.51,0,0
0.54,0,0
0.57,0,0
0.6,0,0
0.21,0,0
0.24,0,0
0.27,0,0
