time,N00,N01,N10,N11
0,20,17,11,103
0.03,28,21,19,82
0.06,44,28,37,45
0.09,41,35,29,51
0.12,61,15,19,52
0.15,74,21,17,39
0.18,82,14,18,28
0.21,90,15,20,26
0.24,104,18,16,25
0.27,122,4,9,23
0.3,120,6,8,18
0.33,125,13,3,13
0.36,124,10,12,11
0.39,127,7,5,19
0.42,131,8,9,6
0.45,148,11,5,2
0.48,143,4,3,10
0.51,139,9,4,2
0.54,148,3,2,3
0.57,149,3,2,3
0.6,147,2,4,6
0,31,12,17,105
0.03,28,21,24,85
0.06,32,38,27,62
0.09,48,31,22,54
0.12,73,30,22,41
0.15,64,19,26,46
0.18,84,16,19,46
0.21,107,16,10,36
0.24,113,15,7,25
0.27,113,11,13,16
0.3,129,6,4,18
0.33,120,14,9,12
0.36,125,4,6,13
0.39,122,15,4,11
0.42,143,7,5,5
0.45,128,8,5,13
0.48,137,4,7,5
0.51,145,5,5,4
0.54,140,2,5,2
0.57,141,5,6,10
0.6,149,5,1,5
0,28,16,9,106
0.03,29,26,25,79
0.06,40,29,29,55
0.09,49,37,25,49
0.12,78,18,17,48
0.15,93,18,9,38
0.18,99,13,11,39
0.21,89,18,12,29
0.24,107,16,10,25
0.27,110,12,4,31
0.3,125,10,11,18
0.33,131,7,9,11
0.36,130,11,8,14
0.39,143,6,6,8
0.42,140,4,10,16
0.45,129,9,7,9
0.48,138,9,4,6
0.51,145,5,3,4
0.54,130,9,6,4
0.57,155,5,5,2
0.6,142,1,3,1
0,24,18,15,100
0.33,118,6,6,17
0.36,131,8,7,13
0.39,136,1,5,15
0.42,131,10,5,6
0.45,134,1,5,8
0.48,131,7,5,7
0.51,142,9,1,9
0.54,146,5,7,6
0.57,140,4,8,5
0.6,132,4,2,3
0,21,18,18,112
0,25,19,13,92
0,20,17,18,98
0,25,17,14,103
0,30,9,21,100
0,18,14,17,113
0,26,13,13,103
0,24,18,15,102
0,23,21,18,104
