time,N00,N01,N10,N11
0.58,155,3,3,0
0.6,152,2,2,0
0.22,130,19,12,0
0.24,139,9,8,0
0.26,134,14,8,1
0.28,141,4,5,0
0.34,156,3,4,0
0.36,152,6,6,0
0.38,142,6,4,0
0.4,152,5,5,0
0.42,155,0,4,1
0.44,149,9,3,0
0.46,159,2,3,0
0.48,159,2,2,0
0.5,156,1,3,0
0.52,155,4,0,0
0.54,147,2,3,0
0.56,154,0,2,0
0.58,146,3,1,0
0.6,161,3,0,0
0.22,128,20,16,0
0.24,146,12,10,0
0.26,147,6,8,0
0.28,146,6,4,1
0.3,145,5,7,1
0.32,151,3,5,0
0.34,145,5,1,1
0.36,147,7,3,0
0.38,137,7,7,0
0.4,136,2,7,0
0.42,148,7,2,0
0.44,148,1,5,0
0.46,145,4,2,0
0.48,149,4,1,0
0.5,153,1,1,0
0.52,149,2,1,0
0.54,154,2,2,0
0.56,148,2,1,0
0.58,150,3,0,0
0.6,154,0,2,0
0.22,139,11,19,2
0.24,135,11,12,1
0.26,140,7,9,0
0.28,149,9,4,0
0.3,145,6,2,0
0.32,152,7,4,0
0.34,152,5,2,0
0.36,147,3,6,0
0.38,148,6,10,0
0.4,143,1,4,0
0.42,146,3,5,0
0.44,158,3,2,0
0.46,150,8,2,0
0.48,148,3,2,0
0.5,151,2,0,0
0.52,152,2,0,0
0.54,144,1,2,0
0.56,149,4,1,0
0.58,146,3,2,0
0.6,153,0,1,0
0.22,133,13,15,1
0.24,142,15,10,0
0.26,143,9,6,0
0.28,150,8,5,2
0.3,159,4,3,1
0.32,150,5,2,0
0.34,149,5,5,0
0.36,152,4,4,1
0.38,146,6,8,0
0.4,156,3,3,0
0.48,146,2,6,0
0.5,148,4,4,0
0.52,164,1,3,0
0.54,162,2,3,0
0.56,147,1,2,0
0.58,162,2,3,0
0.48,147,2,2,0
0.5,163,1,2,0
0.52,154,0,2,0
0.54,153,1,3,0
0.56,155,2,4,0
0.58,153,1,4,0
0.6,152,4,2,0
0.22,138,9,17,0
0.24,125,8,16,0
0.26,148,5,7,0
0.28,139,10,4,0
0.3,142,2,1,1
0.32,147,7,3,0
0.34,153,5,4,0
0.36,156,2,3,0
0.38,151,4,3,0
0.4,149,8,3,0
0.42,147,2,3,0
0.44,147,1,5,0
0.46,156,2,3,0
0.48,157,0,1,0
0.5,160,1,1,1
0.52,158,0,3,0
0.54,152,2,4,0
0.56,152,1,1,0
0.58,148,3,2,0
0.6,152,2,2,0
0.22,124,4,11,1
0.24,132,13,14,0
0.26,99,8,2,1
0.28,149,7,8,0
0.3,149,6,2,1
0.32,135,3,6,0
0.36,152,4,4,0
0.38,147,4,5,0
0.4,156,2,3,0
0.42,145,1,5,0
0.44,159,5,1,0
0.46,160,0,5,0
0.48,142,4,1,0
0.4,146,3,3,0
0.42,165,7,3,0
0.44,147,10,2,0
0.46,159,2,1,0
0.48,150,2,1,1
0.5,148,2,4,0
0.52,151,1,2,0
0.54,148,4,0,0
0.56,153,1,0,0
0.58,145,3,1,0
0.6,141,5,1,0
0.22,137,10,19,0
0.24,125,16,15,0
0.26,149,6,8,0
0.28,154,4,3,1
0.3,157,2,5,2
0.32,158,3,5,0
0.34,157,2,4,0
0.36,163,2,3,0
0.38,142,4,8,0
0.4,155,5,5,0
0.42,161,3,3,1
0.44,149,4,3,0
0.46,147,3,4,1
0.48,154,2,3,0
0.5,149,3,2,0
0.52,172,0,2,0
0.54,163,2,2,0
0.56,169,2,1,0
0.58,156,0,0,0
0.6,158,0,0,0
0.22,129,14,13,0
0.24,144,11,11,1
0.26,136,11,9,0
0.28,146,7,7,6
0.3,148,3,7,0
0.32,154,1,3,1
0.34,154,1,4,0
0.36,148,4,4,0
0.38,143,1,4,0
0.4,149,5,6,0
0.42,158,5,5,0
0.3,142,9,3,0
0.32,144,9,10,1
0.34,158,2,5,0
0.36,155,4,7,0
0.38,143,4,8,0
0.4,141,5,3,0
0.42,156,9,5,0
0.44,151,1,3,0
0.46,143,4,2,0
0.48,150,4,1,0
0.5,164,0,3,0
0.52,165,1,2,0
0.54,150,1,3,0
0.56,165,0,3,0
0.58,172,0,0,0
0.6,173,0,0,0
0.22,134,11,14,0
0.24,133,13,14,0
0.26,145,9,7,0
0.28,156,6,6,0
0.3,143,3,7,2
0.32,160,2,3,0
0.34,155,2,3,0
0.36,147,5,4,0
0.38,156,5,1,0
0.4,150,3,4,0
0.42,146,6,4,0
0.44,156,2,2,0
0.46,163,3,2,0
0.48,159,1,1,0
0.5,157,2,2,0
0.52,164,4,1,0
0.54,151,4,3,0
0.56,157,1,3,0
0.58,147,2,3,0
0.6,142,2,2,0
0.22,127,17,14,0
0.24,136,8,8,0
0.26,147,13,5,0
0.28,144,6,8,1
0.3,148,4,3,0
0.32,151,3,5,0
0.34,149,12,3,1
0.36,145,4,7,0
0.38,141,1,7,0
0.4,145,1,3,0
0.42,151,3,4,0
0.44,148,6,6,0
0.46,167,1,0,0
0.48,155,1,3,0
0.5,162,0,0,0
0.52,153,0,2,0
0.54,170,3,1,0
0.56,155,0,2,0
0.58,148,1,4,0
0.6,155,4,0,0
0.22,129,14,18,1
0.24,126,15,13,0
0.26,144,5,8,1
0.28,143,10,6,1
0.3,158,5,3,2
0.32,151,5,6,0
0.34,164,2,4,0
0.36,151,3,2,0
0.38,148,6,2,0
0.4,164,2,3,0
0.42,159,8,4,0
0.44,157,1,6,1
0.46,157,2,2,0
0.48,152,1,4,1
0.5,161,3,0,0
0.52,152,3,1,0
0.54,151,2,2,0
0.56,161,0,3,0
0.58,162,0,2,0
0.6,147,4,3,0
0.22,133,17,16,0
0.24,124,17,14,0
0.26,142,11,12,0
0.28,157,8,4,2
0.3,146,4,7,1
0.32,154,5,3,0
0.34,154,3,6,0
0.36,153,10,3,0
0.38,154,3,5,0
0.4,140,10,3,0
0.42,154,5,0,0
0.44,154,3,2,0
0.46,155,1,3,0
0.48,159,0,1,0
0.5,163,3,0,0
0.52,157,3,3,0
0.54,153,2,1,0
0.56,170,1,0,0
0.58,154,0,4,0
0.6,166,0,1,0
0.22,142,13,10,2
0.24,133,17,17,0
0.26,131,10,17,1
0.28,144,6,6,0
0.3,146,3,5,2
0.32,149,1,0,0
0.34,157,1,6,0
0.36,147,1,8,0
0.38,154,6,0,0
0.4,149,4,5,0
0.42,151,4,6,0
0.44,155,3,4,0
0.46,166,1,0,0
0.48,146,3,1,0
0.5,154,0,2,0
0.52,154,1,2,0
0.54,154,1,2,0
0.56,159,1,0,0
0.58,158,1,1,0
0.6,175,1,0,0
0.22,134,18,14,0
0.24,135,13,14,0
0.26,146,6,10,1
0.28,145,9,9,2
0.3,156,3,4,1
0.32,142,4,6,2
0.34,144,2,4,0
0.36,161,6,2,0
0.38,147,6,7,0
0.4,142,3,7,0
0.42,149,4,5,0
0.44,155,6,3,0
0.46,147,4,2,0
0.48,164,1,4,0
0.5,151,5,2,0
0.52,159,0,1,0
0.54,158,0,4,0
0.56,159,2,2,0
0.58,163,1,4,0
0.6,157,2,3,0
0.22,128,25,17,0
0.24,133,14,11,0
0.26,141,9,7,0
0.28,149,9,8,0
0.3,154,4,7,1
0.32,154,4,3,1
0.34,149,0,2,0
0.36,148,8,4,0
0.38,147,4,10,0
0.4,147,4,1,0
0.42,157,3,4,0
0.44,147,4,7,0
0.46,140,4,3,0
0.48,149,2,0,0
0.5,154,2,1,0
0.52,154,2,2,0
0.54,149,1,2,1
0.56,154,1,1,0
0.58,163,1,4,0
0.6,151,2,3,0
0.22,137,10,11,2
0.56,164,1,1,0
0.58,156,1,0,0
0.6,159,1,2,0
0.36,164,1,8,0
0.38,154,4,1,0
0.4,146,7,4,0
0.36,145,5,4,0
0.38,152,5,4,0
0.4,158,6,4,1
0.36,154,0,6,0
0.38,150,4,3,0
0.4,163,3,0,0
0.36,137,3,8,0
0.38,147,4,7,0
0.4,158,5,2,0
0.36,164,2,1,0
0.38,155,5,4,0
0.4,145,6,8,0
0.36,162,2,7,0
0.38,160,1,2,0
0.4,161,3,4,0
0.36,156,5,5,1
0.38,163,0,7,0
0.4,156,5,4,1
0.36,150,3,7,0
0.38,156,1,7,0
0.4,155,5,3,0
0.36,163,5,0,0
0.38,146,8,3,0
0.4,141,2,2,0
0.36,142,5,5,0
0.38,157,1,5,0
0.4,149,6,7,0
0.5,160,1,3,0
0.52,154,0,3,0
0.54,156,0,3,0
0.56,153,2,4,0
0.58,160,1,3,0
0.6,163,1,3,0
0.5,170,1,0,0
0.52,162,3,0,0
0.54,153,0,4,0
0.56,157,0,4,0
0.58,158,3,3,0
0.6,152,1,1,0
0.5,162,1,3,0
0.52,155,0,5,0
0.54,167,2,2,0
0.56,156,3,2,0
0.58,163,0,0,0
0.6,152,2,1,0
0.5,151,1,3,0
0.52,164,1,0,0
0.54,158,3,1,0
0.56,158,2,5,0
0.58,165,0,1,0
0.6,151,1,4,0
0.5,143,1,1,0
0.52,165,2,1,0
0.54,153,2,2,0
0.56,163,1,0,0
0.58,156,0,3,0
0.6,149,2,0,0
0.5,153,4,0,0
0.52,158,2,2,0
0.54,164,5,2,0
0.56,150,1,1,0
0.58,154,6,0,0
0.6,158,0,1,0
0.07,106,25,21,10
0.08,128,14,15,8
0.09,131,11,5,7
0.07,107,23,22,6
0.08,132,14,16,8
0.09,139,7,15,6
0.07,111,24,23,9
0.08,122,17,21,4
0.09,138,12,11,5
0.07,108,24,24,4
0.08,125,17,18,8
0.09,130,9,8,4
0.07,105,29,22,5
0.08,123,21,16,7
0.09,139,8,9,8
0.07,99,22,34,9
0.08,121,11,15,3
0.09,120,15,12,10
0.07,93,28,27,11
0.08,119,18,19,6
0.09,129,12,12,5
0.07,109,32,25,6
0.08,123,12,23,4
0.09,133,11,9,5
0.07,103,25,22,10
0.08,118,16,16,6
0.09,145,11,9,5
0.07,109,22,22,6
0.08,129,15,17,3
0.09,138,9,9,3
0.1,141,11,4,5
0.1,134,5,6,6
0.1,143,3,11,10
0.1,133,6,8,7
0.1,139,7,8,9
0.1,142,8,9,8
0.1,147,5,12,8
0.1,149,6,7,9
0.1,142,5,9,8
0.1,149,5,2,13
0.32,154,7,4,0
0.34,155,4,8,0
0.36,157,6,5,0
0.38,161,2,0,0
0.4,157,11,4,0
0.42,162,4,2,0
0.44,161,1,3,0
0.46,161,4,6,1
0.48,178,3,3,0
0.5,167,1,0,0
0.52,174,2,6,0
0.54,178,2,0,0
0.32,168,2,2,1
0.34,157,4,6,0
0.36,158,4,5,0
0.38,165,2,5,0
0.4,152,4,4,0
0.44,162,2,4,0
0.46,165,4,3,0
0.48,164,2,5,0
0.5,168,4,1,0
0.52,166,2,1,0
0.54,160,1,0,0
0.32,166,3,4,0
0.34,158,4,7,1
0.36,167,4,4,0
0.38,162,5,5,0
0.4,160,5,5,0
0.42,154,6,4,0
0.44,159,0,6,0
0.46,157,3,3,0
0.48,166,1,2,0
0.5,165,3,1,0
0.52,161,1,4,0
0.54,151,7,3,0
0.32,159,2,5,0
0.34,153,4,2,0
0.36,160,4,5,0
0.38,165,1,4,0
0.4,154,9,3,0
0.42,163,5,6,0
0.44,166,5,6,0
0.46,167,2,5,0
0.48,169,2,5,0
0.5,165,1,2,0
0.52,163,4,2,0
0.54,169,1,0,0
0.32,155,6,3,0
0.34,148,5,4,0
0.36,151,3,7,0
0.38,162,4,7,0
0.4,165,4,3,0
0.42,157,4,9,0
0.44,150,6,2,0
0.46,170,5,2,0
0.48,171,2,2,0
0.5,162,1,0,0
0.52,156,4,2,0
0.54,169,3,4,0
0.32,156,2,3,1
0.34,163,3,3,0
0.36,162,2,3,0
0.38,160,3,4,0
0.4,170,1,3,0
0.42,158,4,6,0
0.44,153,5,7,0
0.46,166,3,2,0
0.48,162,3,1,0
0.5,168,3,0,0
0.52,171,1,1,0
0.34,155,0,8,0
0.36,151,2,3,0
0.38,145,5,5,0
0.4,147,4,8,0
0.42,148,5,3,0
0.44,158,3,4,0
0.46,157,3,3,0
0.48,157,3,2,1
0.5,161,3,1,0
0.52,150,1,6,0
0.54,160,0,2,0
0.32,156,1,3,0
0.34,162,4,6,0
0.36,151,6,2,0
0.38,156,6,7,0
0.4,149,9,5,0
0.42,150,5,4,0
0.44,157,3,1,0
0.46,161,5,0,0
0.48,159,3,0,0
0.5,156,1,0,0
0.52,159,1,0,0
0.54,151,1,3,1
0.32,158,2,2,0
0.34,151,7,3,0
0.36,156,6,2,0
0.38,161,2,8,0
0.4,147,5,4,0
0.42,145,6,8,0
0.44,159,6,4,0
0.46,154,2,4,0
0.48,155,4,4,0
0.5,160,1,3,0
0.52,154,1,0,0
0.54,157,2,0,1
0.32,158,5,2,1
0.34,160,1,4,1
0.36,151,6,7,0
0.38,159,4,5,0
0.4,149,4,6,0
0.42,143,5,2,1
0.44,146,1,8,0
0.46,156,2,4,0
0.48,165,2,1,0
0.5,156,3,5,0
0.52,163,1,0,0
0.54,168,2,4,0
0.32,159,2,2,1
0.34,158,2,2,0
0.36,162,5,0,0
0.38,141,5,4,0
0.4,150,7,1,0
0.42,155,4,2,0
0.44,157,0,2,0
0.46,159,2,1,1
0.48,158,2,5,0
0.5,162,2,1,0
0.52,147,3,3,0
0.54,154,2,2,0
0.32,151,4,5,0
0.34,153,5,5,1
0.36,161,3,2,0
0.38,152,6,6,0
0.4,151,3,6,0
0.42,164,4,5,0
0.5,164,1,1,0
0.52,163,2,3,0
0.54,165,1,1,1
0.32,164,5,1,0
0.34,156,2,2,0
0.36,156,2,6,0
0.38,151,7,1,2
0.4,159,8,4,0
0.5,157,2,2,0
0.52,149,2,3,0
0.54,167,0,0,0
0.32,165,5,1,0
0.34,144,4,5,0
0.36,152,4,2,0
0.38,145,8,6,0
0.4,163,5,5,0
0.42,154,4,2,1
0.44,161,2,1,0
0.46,156,3,2,0
0.48,151,3,0,0
0.5,170,1,3,0
0.52,165,0,0,0
0.54,163,1,4,0
0.32,156,4,6,0
0.34,178,3,0,0
0.36,168,1,4,1
0.38,164,3,3,0
0.4,153,3,5,0
0.42,160,3,1,0
0.44,157,5,1,0
0.46,165,2,2,0
0.48,152,4,2,0
0.5,160,3,2,0
0.52,152,1,3,0
0.54,155,3,0,0
0.32,161,4,2,1
0.34,147,5,7,0
0.36,153,5,8,0
0.38,148,5,7,0
0.4,157,6,5,1
0.42,145,4,6,0
0.44,157,4,3,0
0.46,160,3,4,0
0.48,158,1,1,0
0.5,157,3,1,0
0.52,153,3,1,0
0.54,165,1,0,0
0.32,152,6,4,0
0.34,159,3,4,0
0.36,145,5,5,0
0.38,161,0,10,0
0.4,155,2,6,1
0.42,165,2,3,0
0.44,161,3,4,0
0.46,161,2,2,0
0.48,157,2,4,0
0.5,155,3,5,0
0.52,151,2,5,0
0.54,158,2,2,1
0.32,153,4,2,2
0.34,157,3,4,0
0.36,154,6,2,0
0.38,144,0,3,0
0.4,157,4,5,0
0.42,155,5,5,0
0.44,160,6,2,0
0.46,152,4,2,0
0.48,153,0,2,0
0.5,161,0,0,0
0.52,154,3,4,0
0.54,154,2,1,0
0.32,148,5,4,1
0.34,160,4,3,1
0.36,154,3,4,0
0.38,158,4,4,0
0.4,155,8,1,0
0.42,151,3,5,0
0.44,143,6,3,0
0.46,153,5,2,0
0.48,158,3,4,0
0.5,161,1,1,0
0.52,73,1,1,0
0.54,77,0,0,0
0.32,156,4,2,0
0.34,155,3,3,0
0.36,149,7,1,0
0.38,156,1,5,0
0.4,152,4,4,0
0.42,142,9,3,1
0.44,145,3,4,0
0.46,158,4,2,0
0.48,161,3,3,0
0.5,149,2,1,0
0.52,160,0,4,0
0.54,144,5,0,0
0.32,146,6,6,0
0.34,157,3,4,0
0.36,158,7,3,0
0.38,138,3,5,0
0.4,146,4,2,2
0.42,158,2,3,0
0.44,156,5,4,0
0.46,160,1,2,0
0.48,160,2,2,0
0.5,159,1,2,0
0.52,149,1,1,0
0.54,150,2,1,0
0.42,150,5,5,0
0.44,152,3,7,0
0.46,157,2,1,0
0.48,147,6,1,0
0.42,161,2,4,0
0.44,147,8,2,0
0.46,151,5,3,0
0.48,145,1,4,0
0.42,145,0,4,0
0.44,141,5,5,0
0.46,156,5,0,0
0.48,157,0,3,0
0.42,136,6,4,0
0.44,138,3,3,0
0.46,131,2,5,0
0.48,152,2,2,0
0.42,140,3,3,0
0.44,149,5,3,0
0.46,144,1,4,0
0.48,158,2,2,0
0.42,151,3,4,0
0.44,146,4,1,0
0.46,151,0,1,0
0.48,147,3,3,0
0.42,154,2,5,0
0.44,141,9,3,1
0.46,165,2,4,0
0.48,157,2,2,0
0.42,139,5,3,0
0.44,159,2,2,0
0.46,150,2,5,0
0.48,157,2,2,0
0.42,147,5,7,1
0.44,147,4,3,0
0.46,153,5,3,0
0.48,157,1,4,0
0.42,156,3,5,0
0.44,154,2,5,0
0.46,151,1,3,0
0.48,154,6,4,0
0.42,139,8,5,0
0.44,152,2,6,0
0.46,155,1,2,0
0.48,158,2,2,0
0.42,150,3,1,0
0.44,170,6,0,0
0.46,148,6,4,0
0.48,154,2,2,0
0.42,142,3,5,1
0.44,149,3,6,0
0.46,148,1,2,0
0.48,152,3,3,1
0.42,150,4,5,0
0.44,146,1,7,0
0.46,151,11,3,0
0.48,156,2,2,0
0.42,149,2,5,1
0.44,156,2,2,1
0.46,133,6,3,0
0.48,157,1,1,0
0.42,145,6,4,0
0.44,153,3,3,0
0.46,149,4,1,0
0.48,155,2,3,0
0.42,153,4,3,0
0.44,152,1,1,0
0.46,149,3,4,0
0.48,149,6,1,0
0.42,148,5,4,0
0.44,145,2,3,0
0.46,153,1,1,0
0.48,161,2,2,0
0.42,151,3,6,0
0.44,157,5,6,0
0.46,155,3,1,0
0.48,138,2,5,0
0.42,136,3,6,0
0.44,149,10,4,0
0.46,146,2,0,0
0.48,150,3,2,0
0.44,147,3,2,0
0.46,154,2,3,0
0.44,141,4,1,0
0.46,155,0,1,0
0.44,155,4,1,0
0.46,156,0,3,0
0.44,141,5,6,0
0.46,153,2,3,0
0.44,142,3,5,0
0.46,148,2,1,0
0.44,152,1,3,0
0.46,148,1,4,0
0.44,152,1,2,0
0.46,146,1,2,0
0.44,162,3,2,0
0.46,146,7,3,0
0.44,150,0,3,0
0.46,135,6,7,0
0.44,145,2,3,1
0.46,147,1,0,0
0.44,143,6,3,0
0.46,153,4,3,0
0.44,161,2,4,0
0.46,139,1,5,0
0.44,140,0,5,0
0.46,155,2,1,0
0.44,152,2,3,1
0.46,147,2,3,0
0.44,143,3,1,0
0.46,153,3,1,0
0.44,147,6,1,0
0.46,142,1,1,0
0.44,144,2,3,0
0.46,154,2,3,0
0.44,149,3,2,0
0.46,150,0,0,0
0.44,145,5,2,0
0.46,161,1,3,1
0.44,142,5,1,0
0.46,155,3,4,0
0.44,154,3,3,0
0.46,148,2,3,0
0.44,143,3,3,0
0.46,154,0,0,0
0.44,144,3,4,0
0.46,143,4,3,0
0.44,137,5,1,0
0.46,148,3,2,0
0.44,146,2,3,0
0.46,151,2,3,0
0.44,161,5,2,0
0.46,145,1,4,0
0.44,153,2,5,0
0.46,139,4,2,0
0.44,148,3,3,0
0.46,144,3,3,0
0.44,143,4,2,0
0.46,143,3,2,1
0.44,147,1,3,0
0.46,153,2,3,0
0.44,152,1,4,0
0.46,153,7,2,0
0.44,158,4,2,0
0.46,154,2,3,0
0.44,144,4,3,0
0.46,161,1,3,0
0.44,143,4,5,0
0.46,154,3,2,0
0.44,153,5,4,0
0.46,169,1,4,0
0.44,157,5,3,0
0.46,143,2,3,0
0.44,155,2,3,0
0.46,159,1,3,0
0.44,150,1,2,0
0.46,159,4,0,0
0.44,152,1,0,1
0.46,148,1,6,0
0.44,151,3,4,1
0.46,149,0,2,0
0.44,150,1,2,0
0.46,149,1,4,0
0.44,148,4,4,0
0.46,153,1,2,0
0.44,146,2,3,0
0.46,147,2,0,0
0.44,147,4,0,0
0.46,160,2,1,0
0.44,136,7,3,0
0.46,140,1,4,1
0.44,149,5,3,0
0.46,145,6,2,0
0.44,153,5,1,0
0.46,151,0,2,0
0.44,148,1,0,1
0.46,154,0,4,0
0.44,144,1,2,0
0.46,145,1,4,0
0.44,159,2,1,0
0.46,155,2,1,0
0,22,25,27,98
0,19,16,13,117
0,24,8,19,114
0,13,26,13,114
0,22,25,24,90
0,18,18,22,98
0,22,20,19,91
0,21,16,18,103
0,14,31,16,99
