time,N00,N01,N10,N11
0,17,21,25,107
0.02,33,29,35,69
0.04,42,48,41,38
0.06,83,28,37,15
0.08,119,18,18,6
0.1,151,4,2,9
0.12,164,1,3,9
0.14,146,6,13,3
0.16,137,14,13,4
0.18,139,10,17,1
0.2,134,14,16,0
0,19,23,22,100
0.02,26,38,30,69
0.04,65,31,37,37
0.06,86,35,34,11
0.08,131,18,19,4
0.1,142,5,7,11
0.12,152,8,3,6
0.14,141,8,12,4
0.16,131,14,19,3
0.18,129,20,17,1
0.2,131,20,16,0
0.22,124,19,23,0
0.24,136,13,16,0
0.26,141,10,9,0
0.28,150,10,4,0
0.3,151,8,4,1
0.32,157,7,3,0
0.34,155,7,3,0
0.36,155,5,5,0
0.38,151,9,10,0
0.4,152,4,3,0
0.42,148,5,4,0
0.44,162,4,5,1
0.46,163,2,1,0
0.48,166,1,4,0
0.5,155,1,1,0
0.52,164,2,2,0
0.54,159,2,3,0
0.56,167,1,2,0
0.58,158,2,5,0
0.6,159,3,2,0
0,19,23,23,87
0.02,20,41,31,73
0.04,49,45,26,33
0.06,77,26,37,17
0.08,126,18,12,7
0.1,128,5,9,6
0.12,156,4,3,5
0.14,145,11,8,2
0.16,136,14,14,1
0.18,128,17,25,0
0.2,129,20,13,0
0.22,133,12,18,0
0.24,130,18,17,1
0.26,155,9,3,0
0.28,159,6,6,0
0.3,159,5,4,3
0.32,157,2,2,0
0.34,165,4,4,0
0.36,159,4,4,0
0.38,165,6,6,0
0.4,169,2,1,0
0.42,160,2,5,0
0.44,145,3,1,0
0.46,156,0,5,0
0.48,148,0,4,0
0.5,162,3,4,0
0.52,159,1,0,0
0.54,156,0,3,0
0.56,166,1,2,0
0.58,161,3,2,0
0.6,162,1,1,0
0.06,95,32,30,7
0.08,125,16,19,5
0.1,151,6,5,11
0.12,162,5,3,7
0.06,80,37,32,14
0.08,110,21,18,11
0.1,147,4,9,7
0.12,150,5,6,4
0.06,78,32,44,9
0.08,127,25,20,3
0.1,147,8,10,9
0.12,138,5,5,8
0.2,141,17,10,0
0.22,143,16,13,0
0.24,135,19,9,0
0.26,159,7,6,0
0.28,155,9,6,0
0.3,155,3,6,1
0.32,156,2,6,0
0.34,150,6,5,0
0.36,133,8,1,0
0.38,153,2,5,0
0.4,159,3,6,0
0.48,158,1,3,0
0.5,151,4,3,0
0.52,164,0,3,0
0.54,158,5,1,0
0.56,153,3,1,0
0.58,162,3,2,0
0.6,164,0,1,0
0.2,119,20,20,2
0.22,133,17,20,0
0.24,154,12,9,0
0.26,138,11,2,1
0.28,153,4,6,1
0.3,153,7,6,0
0.32,161,6,3,1
0.34,150,6,6,0
0.36,147,4,9,0
0.38,147,3,6,0
0.4,151,4,3,0
0.42,148,5,6,0
0.44,146,7,1,1
0.46,160,4,2,0
0.48,155,2,2,1
0.5,158,3,4,0
0.52,154,5,3,0
0.54,158,1,2,0
0.56,164,1,3,0
0.58,151,4,4,0
0.6,158,2,3,0
0.36,153,3,3,0
0.38,154,7,2,1
0.4,163,5,4,0
0.42,136,12,12,2
0.44,130,13,13,1
0.46,128,20,16,4
0.48,113,24,25,6
0.5,141,15,15,2
0.52,146,11,9,1
0.14,131,8,14,3
0.16,120,20,16,3
0.14,134,7,10,5
0.16,128,16,10,5
0.18,132,16,19,2
0.2,126,22,15,0
0.22,128,18,13,0
0.24,146,10,11,0
0.26,141,9,9,0
0.28,151,5,3,0
0.3,161,1,4,1
0.32,148,4,8,0
0.34,157,5,5,0
0.36,146,5,3,0
0.38,159,4,5,0
0.4,155,6,7,0
0.42,161,3,8,0
0.44,153,2,8,0
0.46,164,6,1,0
0.48,161,1,2,0
0.5,162,1,2,0
0.52,149,2,5,0
0.54,156,0,2,0
0.56,165,1,6,0
0.58,160,1,4,0
0.6,157,0,0,0
0.18,129,18,22,1
0.2,124,16,18,3
0.22,133,15,17,0
0.24,137,10,16,1
0.26,159,6,8,0
0.28,152,6,8,1
0.3,153,5,5,2
0.32,153,2,5,0
0.34,145,4,5,0
0.36,168,2,3,0
0.38,130,6,5,0
0.4,156,3,4,0
0.42,156,3,5,0
0.18,138,9,17,4
0.2,135,17,9,0
0.22,134,18,13,2
0.24,139,7,11,0
0.26,152,6,9,1
0.28,159,5,5,0
0.3,151,6,8,0
0.32,157,2,4,1
0.34,147,7,3,0
0.36,149,4,10,0
0.38,156,4,2,0
0.4,150,8,4,0
0.42,150,3,3,1
0.44,155,1,2,0
0.46,155,3,5,0
0.48,174,1,1,0
0.5,158,3,1,0
0.52,147,5,2,0
0.54,153,3,2,1
0.56,156,1,2,0
0.58,157,2,2,0
0.6,168,0,2,0
0.18,124,21,16,2
0.2,113,23,24,2
0.22,138,12,13,0
0.24,128,13,20,1
0.26,150,6,9,2
0.28,145,6,5,0
0.3,168,4,2,1
0.32,164,2,2,1
0.34,149,3,2,0
0.36,165,6,4,0
0.38,154,5,3,0
0.4,159,4,2,0
0.42,151,5,6,0
0.44,160,2,1,0
0.46,152,3,2,0
0.48,158,1,2,0
0.5,167,4,0,0
0.52,164,4,0,0
0.54,163,2,1,0
0.56,157,1,1,0
0.58,167,5,0,0
0.6,175,2,0,0
0.18,132,20,11,0
0.2,126,14,15,3
0.22,125,16,18,1
0.24,132,18,19,2
0.26,142,6,8,0
0.28,142,4,7,0
0.3,146,5,8,1
0.32,157,4,2,0
0.34,157,3,4,0
0.36,150,5,3,0
0.38,143,3,9,0
0.4,161,6,2,0
0.42,155,3,4,0
0.44,161,2,4,0
0.46,145,1,4,0
0.48,160,1,2,0
0.5,148,3,2,0
0.52,152,3,0,0
0.54,166,4,1,0
0.24,129,17,13,0
0.26,155,7,10,0
0.28,149,10,5,0
0.3,154,2,3,0
0.32,144,7,2,0
0.34,158,2,4,1
0.36,136,5,9,0
0.38,162,5,2,0
0.4,143,11,2,0
0.42,149,2,2,0
0.44,146,3,0,0
0.46,162,3,3,0
0.48,149,2,1,0
0.5,154,5,3,0
0.52,153,2,3,0
0.54,152,3,1,0
0.56,158,1,1,0
0.58,149,3,2,0
0.6,157,2,2,0
0.18,132,13,18,0
0.2,132,13,16,0
0.22,142,6,23,0
0.24,129,13,21,0
0.26,136,7,12,0
0.28,148,5,5,2
0.3,144,3,2,0
0.32,146,5,4,0
0.34,136,7,8,1
0.36,156,1,5,0
0.38,157,2,5,0
0.4,157,3,4,0
0.42,153,6,4,0
0.44,158,3,6,0
0.46,156,1,2,0
0.48,162,0,1,0
0.5,156,2,2,0
0.52,158,2,0,0
0.54,162,3,2,0
0.56,159,2,2,0
0.58,158,2,1,0
0.6,147,3,3,0
0.22,131,11,21,0
0.24,133,10,16,0
0.26,149,5,8,0
0.28,144,7,7,1
0.3,156,5,6,0
0.32,159,5,1,1
0.34,154,3,3,0
0.36,151,4,3,0
0.38,155,4,5,0
0.4,145,3,4,0
0.42,159,2,5,0
0.44,155,2,1,0
0.46,160,1,0,1
0.48,166,1,3,0
0.5,156,0,0,0
0.52,164,4,2,0
0.54,151,1,1,0
0.56,156,2,1,0
