time,N00,N01,N10,N11
0,15,27,26,97
0.03,15,38,24,97
0.06,34,25,42,59
0.09,63,37,41,28
0.12,79,26,24,32
0.15,96,25,15,35
0.18,111,7,13,22
0.21,146,8,9,8
0.24,140,4,7,9
0.27,141,7,6,5
0.3,149,8,5,4
0.33,157,1,4,2
0.36,153,6,12,0
0.39,153,11,5,0
0.42,150,5,2,2
0.45,147,4,8,0
0.48,154,4,7,2
0.51,149,6,3,0
0.54,155,2,1,0
0.57,156,1,3,0
0.6,158,1,3,0
0.09,52,34,41,30
0.12,78,29,31,16
0.15,108,21,17,20
0.18,122,15,10,16
0.21,136,8,9,10
0.24,161,4,3,7
0.27,152,5,7,6
0.3,148,7,5,3
0.33,150,9,3,3
0.36,143,4,7,8
0.39,158,9,4,4
0.42,160,6,5,0
0.45,157,4,3,1
0.48,150,7,6,2
0.51,156,2,5,0
0.54,155,5,4,1
0.57,161,3,3,0
0.6,166,3,0,1
0.21,112,9,11,11
0.24,125,14,7,9
0.27,117,11,13,9
0.3,136,7,7,4
0.33,140,6,3,4
0.36,149,9,8,1
0.39,146,6,10,3
0.42,141,6,2,4
0.45,154,4,4,1
0.48,143,5,6,0
0.51,154,1,3,1
0.54,152,4,2,0
0.57,151,2,2,1
0.6,148,3,0,0
0.21,120,10,13,18
0.24,133,12,5,13
0.27,143,5,5,6
0.3,142,5,5,3
0.33,141,5,7,3
0.36,137,1,9,4
0.39,138,7,7,1
0.42,148,2,6,2
0.45,144,5,5,2
0.48,151,5,0,6
0.51,149,0,5,0
0.54,146,6,3,0
0.57,143,2,3,1
0.6,158,2,2,0
0.21,136,5,10,16
0.24,133,5,12,11
0.27,140,13,9,6
0.3,148,10,7,2
0.33,141,5,6,3
0.36,138,8,3,2
0.39,139,7,6,0
0.42,156,2,4,1
0.45,153,5,6,3
0.48,150,9,4,0
0.21,140,2,3,11
0.24,120,8,8,8
0.27,132,10,9,4
0.3,130,8,7,3
0.33,151,1,8,4
0.36,157,3,8,3
0.39,147,5,7,1
0.42,164,5,5,2
0.45,151,4,3,2
0.48,157,1,3,0
0.51,145,7,3,0
0.54,138,3,2,0
0.57,166,5,3,0
0.6,150,0,5,0
0.51,140,3,3,1
0.54,156,2,3,3
0.57,145,5,2,1
0.6,142,2,3,0
0.51,147,3,6,0
0.54,156,1,3,0
0.57,153,3,1,1
0.6,150,4,2,2
0.51,150,2,5,0
0.54,150,3,2,2
0.57,155,2,1,0
0.6,158,2,1,0
0.51,151,4,5,2
0.54,143,4,5,0
0.57,153,4,1,0
0.6,159,0,0,1
0.51,145,6,3,1
0.54,137,5,3,0
0.57,152,2,4,0
0.6,159,0,2,0
0.51,150,3,3,1
0.54,147,1,4,0
0.57,152,4,2,1
0.6,156,4,2,1
0.51,152,2,4,1
0.54,150,2,2,1
0.57,152,3,4,1
0.6,150,5,4,1
0.51,158,1,2,0
0.54,154,1,2,1
0.57,154,2,0,0
0.6,146,1,6,1
0.51,143,8,0,1
0.54,147,3,3,0
0.57,144,3,2,0
0.6,153,1,2,0
0.51,158,1,7,0
0.54,147,2,3,1
0.57,146,2,4,0
0.6,151,4,1,0
0,30,18,20,92
0,26,14,15,103
0,31,15,8,98
0,25,17,24,91
0,21,24,24,87
0,19,18,25,93
0,27,23,15,89
0,36,15,28,91
0,22,22,21,87
0,29,16,20,93
0.03,18,26,26,93
0.06,24,28,44,54
0.03,20,25,22,84
0.06,33,30,38,56
0.03,11,23,30,89
0.06,41,38,34,49
0.03,17,25,28,88
0.06,27,24,36,74
0.03,14,29,25,93
0.06,22,28,31,70
0.03,19,16,35,91
0.06,20,38,36,53
0.03,15,23,26,92
0.06,29,26,32,67
0.03,17,22,29,97
0.06,29,35,32,61
