time,N0,N1
0.36,96,1
0.38,86,0
0.4,91,0
0.42,91,1
0.44,95,0
0.46,92,1
0.48,94,2
0.5,96,1
0.52,91,0
0.54,96,0
0.56,94,0
0.58,93,1
0.6,91,0
0.32,88,1
0.34,86,1
0.36,89,0
0.38,90,3
0.4,90,1
0.42,90,1
0.44,93,2
0.46,90,2
0.48,88,5
0.5,96,0
0.52,90,1
0.54,90,0
0.56,96,1
0.58,91,0
0.6,90,1
0.32,92,0
0.34,94,0
0.36,90,1
0.38,93,2
0.4,90,2
0.42,92,0
0.44,92,4
0.46,96,1
0.48,93,2
0.5,90,1
0.52,96,0
0.54,91,0
0.56,90,0
0.58,95,0
0.6,93,1
0.32,97,0
0.34,89,0
0.36,93,0
0.38,94,0
0.4,91,1
0.42,90,0
0.44,92,2
0.46,92,1
0.48,95,3
0.5,92,0
0.52,93,0
0.54,93,0
0.44,89,5
0.46,89,1
0.48,91,0
0.5,90,0
0.52,100,0
0.54,94,0
0.56,96,1
0.58,90,1
0.6,95,0
0.32,93,0
0.34,91,1
0.36,95,0
0.38,93,1
0.4,86,4
0.42,90,3
0.44,95,0
0.46,91,1
0.48,94,1
0.5,90,0
0.52,88,1
0.54,92,0
0.56,92,0
0.58,94,0
0.6,92,1
0.32,91,2
0.34,91,0
0.36,92,1
0.38,93,0
0.4,93,3
0.42,90,4
0.44,87,1
0.46,95,2
0.48,88,2
0.5,95,0
0.52,90,0
0.54,94,1
0.56,96,0
0.58,93,0
0.6,89,2
